"itch_game_url","steam_game_url","is_upvote","feedback","overall_feedback","u_id","timestamp","sim_scores","row_id"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps","1","","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.363724","4243"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy","0","This game is 3D.","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.357754","4241"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2","0","This is a horror game.","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.349498","4244"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/588650/Dead_Cells","1","","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.290994","3993"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/400/Portal","0","This is a 3D puzzle game.","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.284348","3994"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/449610/Monster_Boy_and_the_Cursed_Kingdom","1","","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.191032","2329"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/860950/Mark_of_the_Ninja_Remastered","0","This is a stealth game.","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.189442","2326"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/421170/Indivisible","0","This is an action RPG.","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.180538","2328"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/387290/Ori_and_the_Blind_Forest_Definitive_Edition","1","","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.175094","2325"
"https://1f1n1ty.itch.io/capsule-guy","https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince","1","","A great goal. Indie games deserve more love!","rK1bY94wnwNIJUQJVKK4bg6zf9KEgMto","2020-06-17 15:45:22","0.170422","2327"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.404144","4970"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/400/Portal","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.296337","7335"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/379720/DOOM","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.290465","7337"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/782330/DOOM_Eternal","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.273601","7339"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.265367","7336"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/55230/Saints_Row_The_Third","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.244159","7029"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/493520/GTFO","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.169809","651"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/1016800/Chernobylite","1","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.169809","652"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/381210/Dead_by_Daylight","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.165479","653"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/21000/LEGO_Batman_The_Videogame","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.160701","654"
"https://3strakgames.itch.io/didstress","https://store.steampowered.com/app/25000/Overgrowth","0","","It's a great idea. I hope it's successful. Pretty much none of these is really similar to DIDstress. The actual games that are similar are Outlast and Alien Isolation.","AssfNSzP2ILoYpWR2PYwSHqMyEQQgJgU","2020-07-01 18:15:12","0.160422","650"
"https://9vaca.itch.io/hearts-illumination","https://store.steampowered.com/app/921570/OCTOPATH_TRAVELER","1","Both have some ""retro rpg"" design factoring into their gameplay and visuals.","I think it's wonderful. These days, the most difficult part of enjoying indie games is finding the ones I like in the first place, because there's such a vast sea of them with such a small percent being to my preferences. And it takes a long time to sift through recommendations on Steam or Itch, where most of the games aren't really to my interest. I understand that there's no way to understand or match a person's preferences perfectly, but any improvements are welcome!","HRNo2sFNhSwheFZYQKcASETSdjEIiX96","2020-07-02 19:02:13","0.200159","10220"
"https://9vaca.itch.io/hearts-illumination","https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION","0","The production, aesthetics, gameplay, and atmosphere are worlds apart.","I think it's wonderful. These days, the most difficult part of enjoying indie games is finding the ones I like in the first place, because there's such a vast sea of them with such a small percent being to my preferences. And it takes a long time to sift through recommendations on Steam or Itch, where most of the games aren't really to my interest. I understand that there's no way to understand or match a person's preferences perfectly, but any improvements are welcome!","HRNo2sFNhSwheFZYQKcASETSdjEIiX96","2020-07-02 19:02:13","0.198997","10223"
"https://9vaca.itch.io/hearts-illumination","https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Edition","0","[Pathfinder: Kingmaker] is an isometric game with fancy graphics and a heavy focus on killing things. [The Heart's Illumination] doesn't really match any of those.","I think it's wonderful. These days, the most difficult part of enjoying indie games is finding the ones I like in the first place, because there's such a vast sea of them with such a small percent being to my preferences. And it takes a long time to sift through recommendations on Steam or Itch, where most of the games aren't really to my interest. I understand that there's no way to understand or match a person's preferences perfectly, but any improvements are welcome!","HRNo2sFNhSwheFZYQKcASETSdjEIiX96","2020-07-02 19:02:13","0.19414","10222"
