itch_game_url,steam_game_url,is_upvote
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps,1
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/387290/Ori_and_the_Blind_Forest_Definitive_Edition,1
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/421170/Indivisible,0
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/860950/Mark_of_the_Ninja_Remastered,0
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/449610/Monster_Boy_and_the_Cursed_Kingdom,1
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince,1
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/588650/Dead_Cells,1
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2,0
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy,0
https://1f1n1ty.itch.io/capsule-guy,https://store.steampowered.com/app/400/Portal,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/890720/In_Other_Waters,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony,1
https://flght.itch.io/carhazard,https://store.steampowered.com/app/466560/Northgard,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/400/Portal,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/607050/Wargroove,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/1071130/The_Procession_to_Calvary,1
https://flght.itch.io/carhazard,https://store.steampowered.com/app/368620/Timespinner,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/421170/Indivisible,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/477160/Human_Fall_Flat,0
https://flght.itch.io/carhazard,https://store.steampowered.com/app/860950/Mark_of_the_Ninja_Remastered,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/1055540/A_Short_Hike,1
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/500/Left_4_Dead,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/400/Portal,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/563840/LOST_EMBER,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/890720/In_Other_Waters,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/996580/Spyro_Reignited_Trilogy,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/1104380/The_Room_VR_A_Dark_Matter,0
https://alexkalopsia.itch.io/memoir-en-code-reissue,https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy,0
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/519860/DUSK,1
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/387290/Ori_and_the_Blind_Forest_Definitive_Edition,0
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/304240/Resident_Evil__biohazard_HD_REMASTER,0
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/334540/Vox_Machinae,0
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/594650/Hunt_Showdown,0
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy,1
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/673130/AMID_EVIL,1
https://dare-looks.itch.io/bomber-bother,https://store.steampowered.com/app/70/HalfLife,1
https://dare-looks.itch.io/hitter,https://store.steampowered.com/app/412020/Metro_Exodus,0
https://dare-looks.itch.io/hitter,https://store.steampowered.com/app/536220/The_Walking_Dead_A_New_Frontier,0
https://dare-looks.itch.io/hitter,https://store.steampowered.com/app/287390/Metro_Last_Light_Redux,0
